id;active;name;description;short_description;meta_title;meta_description;meta_keywords;image_url
78;1;MONSTER;;;MONSTER;;;http://bubumotos.com/data/fabricante/1346337329_Monster_Energy_Stickers_3.jpg
79;1;"SCORPION ";;;"SCORPION ";;;http://bubumotos.com/data/fabricante/1346488996_scorpion-exo-logoWEB1.jpg
80;1;"BATERIAS GS";;;"BATERIAS GS";;;http://bubumotos.com/data/fabricante/
81;1;A-SIDER;;;A-SIDER;;;http://bubumotos.com/data/fabricante/1427453778_logo_asider_pequeno.jpg
82;1;QUARTERMILE;;;QUARTERMILE;;;http://bubumotos.com/data/fabricante/1349165998_F3E24ADD-4F62-45C6-AA7A-0CEBA77CBA22.jpg
83;1;LEVIOR;;;LEVIOR;;;http://bubumotos.com/data/fabricante/1349772471_levior.jpg
84;1;BLH;;;BLH;;;http://bubumotos.com/data/fabricante/1350569896_blh_logo.jpg
85;1;BOBLBEE;;;BOBLBEE;;;http://bubumotos.com/data/fabricante/1351327961_boblbee-logo.jpg
86;1;MILINE;;;MILINE;;;http://bubumotos.com/data/fabricante/1351845563_miline.jpg
87;1;URBANITA;;;URBANITA;;;http://bubumotos.com/data/fabricante/1360322412_urbanita_thumb1.jpg
88;1;"ADN & CO";;;"ADN & CO";;;http://bubumotos.com/data/fabricante/1353499928_adn.jpg
89;1;SHIRO;;;SHIRO;;;http://bubumotos.com/data/fabricante/1355303298_shiro.jpg
90;1;FORMA;;;FORMA;;;http://bubumotos.com/data/fabricante/1356197977_FormaBootsLOGO.jpg
91;1;HEDON;;;HEDON;;;http://bubumotos.com/data/fabricante/1359051009_HEDON.jpg
92;1;PUIG;;;PUIG;;;http://bubumotos.com/data/fabricante/1360322522_cubrecadenas-puig-kawasaki-zrx11001200-9706_fi_4663826.jpg
93;1;ZAN;;;ZAN;;;http://bubumotos.com/data/fabricante/1365153582_logo.jpg
94;1;BOBSTER;;;BOBSTER;;;http://bubumotos.com/data/fabricante/1365154723_BobsterLogo.jpg
95;1;"MOOSE RACING";;;"MOOSE RACING";;;http://bubumotos.com/data/fabricante/1365156194_moose-racing-logo.jpg
96;1;"GIANNI FALCO";;;"GIANNI FALCO";;;http://bubumotos.com/data/fabricante/1365157291_logo.jpg
97;1;PREMIER;;;PREMIER;;;http://bubumotos.com/data/fabricante/1365177011_Premier_Logo_hg_web.jpg
98;1;FALCO;;;FALCO;;;http://bubumotos.com/data/fabricante/1365183634_images.jpg
99;1;IXS;;;IXS;;;http://bubumotos.com/data/fabricante/1365267864_logo-marca-81.jpg
100;1;BAGSTER;;;BAGSTER;;;http://bubumotos.com/data/fabricante/1368462697_logo_bagster.jpg
101;1;AIROH;;;AIROH;;;http://bubumotos.com/data/fabricante/1369903216_images.jpg
102;1;"INTERPHONE CELLULAR LINE";;;"INTERPHONE CELLULAR LINE";;;http://bubumotos.com/data/fabricante/1370453646_Logo-Cellular_Line.jpg
103;1;LAZER;;;LAZER;;;http://bubumotos.com/data/fabricante/1371825509_lazer-logo-600x201.jpg
104;1;EIGHTY-EIGHT;;;EIGHTY-EIGHT;;;http://bubumotos.com/data/fabricante/1372429605_88_por_partes-01_(2).jpg
105;1;ONEAL;;;ONEAL;;;http://bubumotos.com/data/fabricante/1372439163_ONEAL.jpg
106;1;GARIBALDI;;;GARIBALDI;;;http://bubumotos.com/data/fabricante/1372867555_logo_garibaldi.jpg
107;1;ABUS;;;ABUS;;;http://bubumotos.com/data/fabricante/1379079845_Abus_20Logo_(1).jpg
108;1;CITADEL;;;CITADEL;;;http://bubumotos.com/data/fabricante/1379090732_citadel-logo.jpg
109;1;SCHUBERTH;;;SCHUBERTH;;;http://bubumotos.com/data/fabricante/1379172230_LOGO-SCHUBERT-R.jpg
110;1;"Dynamic line";;;"Dynamic line";;;http://bubumotos.com/data/fabricante/
111;1;KEITI;;;KEITI;;;http://bubumotos.com/data/fabricante/1380907115_Keiti.jpg
112;1;"BANDIT HELMETS";;;"BANDIT HELMETS";;;http://bubumotos.com/data/fabricante/1387012881_Bandit_logo.jpg
113;1;YUASA;;;YUASA;;;http://bubumotos.com/data/fabricante/
114;1;IXON;;;IXON;;;http://bubumotos.com/data/fabricante/1413302529_logo.jpg
115;1;SHARK;;;SHARK;;;http://bubumotos.com/data/fabricante/1397201038_shark-logo_1.jpg
116;1;"HELMO MILANO";;;"HELMO MILANO";;;http://bubumotos.com/data/fabricante/1401437414_HEMO_MILANO.jpg
117;1;SEGURA;;;SEGURA;;;http://bubumotos.com/data/fabricante/1401461762_image.jpg
118;1;"WARNER BROS";;;"WARNER BROS";;;http://bubumotos.com/data/fabricante/1401549245_Warner_Bros._Records.jpg
119;1;"HELLO KITTY";;;"HELLO KITTY";;;http://bubumotos.com/data/fabricante/1401549269_hELLO_KITTY.jpg
120;1;CRV48;;;CRV48;;;http://bubumotos.com/data/fabricante/1401898283_02c20862e914d7cca7505c65fff4c58b.jpg
121;1;CLIMAX;;;CLIMAX;;;http://bubumotos.com/data/fabricante/1402481769_climax-casco.jpg
122;1;MOTLEY;;;MOTLEY;;;http://bubumotos.com/data/fabricante/
123;1;MAX;;;MAX;;;http://bubumotos.com/data/fabricante/1404555056_LOGO.jpg
124;1;NOLAN;;;NOLAN;;;http://bubumotos.com/data/fabricante/1404818716_Nolan.jpg
125;1;SOLS;;;SOLS;;;http://bubumotos.com/data/fabricante/1406045867_SOLS.jpg
126;1;SENA;;;SENA;;;http://bubumotos.com/data/fabricante/1406719827_LOGO.jpg
127;1;NEXX;;;NEXX;;;http://bubumotos.com/data/fabricante/1407254653_NEXX_Logo.jpg
128;1;"MOMO DESIGN";;;"MOMO DESIGN";;;http://bubumotos.com/data/fabricante/1411723611_logo.jpg
